label,content
1,học nghề nấu ăn ở hướng nghiệp á âu ổn không mọi người ơi ai học rồi cho em xin ít review
0,mọi người cho em hỏi trường đại học ngoại thương tuyển thẳng những nghành nào ạ
0,e đang định vô đại học công nghiệp tp hcm anh chị cho em xin ý kiến cảm ơn ạ
0,có ai đã và đang đi du học không ạ cho em hỏi một vài vấn đề với ạ
0,mọi người ơi cho em hỏi trong đơn đăng kí nếu mình ghi thi khối c03 vào ngành công an nhưng thi xong có được đổi nguyện vọng sang trường hutech đã đỗ nhờ vào xét học bạ được không ạ
0,mọi người ơi bây giờ còn trường công lập nào xét học bạ ngành điều dưỡng không ạ
0,mọi người cho em hỏi nếu em thi tốt nghiệp trong nam rồi đến lúc chỉnh sửa nguyện vọng em đăng kí thêm một trường ở hn và ra đó học thì có được không ạ em xin cảm ơn mọi người trước
0,chào mọi người em năm sau 12 ạ hiện tại em vẫn chưa định hướng được ngành để học em dự định học khối a00 tiếng anh em học không được tốt cho lắm dưới là những điều giống với tính cách em 85 mong mọi người tư vấn giúp em ạ
0,có achi nào có sách ôn cơ bản đến nâng cao như này không ạ
0,nên chọn luật hay dược thì đầu ra tốt hơn ạ
0,nên học khoa liên kết nước ngoài của đại học ngoại thương hay đại học quốc tế đhqghcm ạ
0,em không thi đại học chỉ thi tốt nghiệp mong muốn sau thi có được một công việc phù hợp mong các anh chị cô chú tư vấn đc không ạ em có khả năng ăn nói và thích kinh doanh
0,em thích buôn bán khá khéo ăn nói nên chọn ngành nào đây mọi người cho em xin ý kiến với ạ
0,rớt đại học học nghề tóc ổn không cả nhà
0,ngành nào phù hợp với nữ hơn và có đầu ra tốt hơn ạ
0,giữa quản trị khách sạn và quản trị nhân sự thì nên chọn cái nào ạ
1,em đang phân vân giữa tài chính ngân hàng và công nghệ thực phẩm anh chị cho em lời khuyên với ạ
0,mọi người cho em hỏi chút ạ quản trị khách sạn nên học đại học hay cao đẳng ạ và đại học thì trường nào giảng dạy tốt cao đẳng thì trường nào giảng dạy tốt em ở miền bắc ạ
0,cho mình hỏi nếu như mình chọn tổ hợp xã hội để thi tốt nghiệp nhưng ngành mình chọn học lại xét khối a vậy được không ạ
0,mọi người cho em hỏi em thích hoá nhưng em học không quá giỏi hoá không học chuyên thì học sư phạm hoá có ổn không ạ
0,anh chị cho em hỏi có thể liên thông trái ngành được không ạ và chuyển ngành thì mất bao nhiêu năm
0,giữa trường đại học tài chính marketing và đại học tôn đức thắng em nên học trường nào ạ ngành em dự định học là tài chính ngân hàng hoặc kinh doanh quốc tế ạ mong anh chị tư vấn giúp em
0,anh chị cho em hỏi được không em học khá khối a thì nên học ngành nào và học trường nào thì tốt ạ em ở miền trung
1,mọi ngừoi cho em xin chút reivew về trường saigon tourist ngành quản trị khách sạn với bếp bánh với ạ
1,mọi người ơi có em xin ít ý kiến ạ 2 ngành này 1 điều dưỡng 2 nhân sự
1,ngành quản trị khách sạn anh chị nào học rồi cho em chút ý kiến với em cảm ơn ạ
0,em chào mọi người ạ hiện tại em đang phân vân giữa 2 trường văn lang và hoa sen ạ em phân vân ngành quản trị sự kiện và ngành quản trị khách sạn của 2 trường này ạ anh chị có ai đang học 2 trường này tư vấn cho em với ạ em cảm ơn
1,anh chị nào từng học liên kết quốc tế của tmu cho em xin review với ạ
0,ngôn ngữ trung nên học trường nào đào tạo tốt mà xét học bạ ạ mà học phí thì không quá 30 đến 40tr năm ạ
0,mọi người ơi tư vấn giúp em vớihiện tại em đang phân vân giữa khối a và khối dem học được môn văn và hóamôn toán thì em học bình thường anh thì em bị mất gốc không bk lấy gốc sao lun nên em nản
